holiday,temp,rain_1h,snow_1h,clouds_all,traffic_volume,weekday,hour,good_weather
0,279.47,0,0,20,4411,0,11,1
0,279.84,0,0,1,4648,0,12,1
0,282.34,0,0,40,4602,0,13,1
0,282.94,0,0,40,5125,0,14,1
0,283.48,0,0,1,5502,0,15,1
0,284.33,0,0,1,5979,0,16,1
0,284.48,0,0,40,5663,0,17,1
0,284.23,0,0,40,4259,0,18,1
0,281.99,0,0,20,3069,0,19,1
0,279.81,0,0,1,2378,0,20,1
0,279.35,0,0,1,2030,0,21,1
0,278.9,0,0,1,1400,0,22,1
0,278.46,0,0,1,917,0,23,1
0,277.78,0,0,1,515,1,0,1
0,277.27,0,0,1,302,1,1,1
0,277.47,0,0,1,251,1,2,1
0,276.97,0,0,20,798,1,4,1
0,276.52,0,0,40,2678,1,5,1
0,276.6,0,0,40,5733,1,6,1
0,277.31,0,0,75,6449,1,7,1
0,278.38,0,0,90,5765,1,8,1
0,279.35,0,0,90,5599,1,9,1
0,281.37,0,0,90,4534,1,10,1
0,283.11,0,0,90,4691,1,11,1
0,284.08,0,0,75,5067,1,12,1
0,285.14,0,0,75,5030,1,13,1
0,286.35,0,0,90,5300,1,14,1
0,287.23,0,0,100,5777,1,15,0
0,288.53,0,0,90,6349,1,16,1
0,290.37,0,0,90,6127,1,17,1
0,290.13,0,0,90,4460,1,18,1
0,288.86,0,0,75,3418,1,19,1
0,287.36,0,0,90,2775,1,20,1
0,285.11,0,0,90,2306,1,21,1
0,283.46,0,0,90,1846,1,22,1
0,282.45,0,0,90,947,1,23,1
0,281.88,0,0,90,494,2,0,1
0,281.78,0,0,90,332,2,1,1
0,281.09,0,0,75,261,2,2,1
0,281.17,0,0,90,361,2,3,1
0,281.25,0,0,92,5875,2,6,1
0,281.25,0,0,99,6793,2,7,0
0,281.25,0,0,99,6793,2,7,0
0,280.1,0,0,99,6283,2,8,0
0,280.1,0,0,99,6283,2,8,0
0,279.61,0,0,99,5680,2,9,0
0,279.61,0,0,99,5680,2,9,0
0,279.67,0,0,99,4632,2,10,1
0,280.19,0,0,1,4887,2,11,1
0,282.09,0,0,75,5030,2,12,1
0,282.26,0,0,75,5067,2,13,1
0,282.05,0,0,90,5227,2,14,1
0,281.59,0,0,90,5610,2,15,1
0,281.23,0,0,81,6286,2,16,1
0,282.6,0,0,81,4775,2,18,1
0,282.6,0,0,81,3340,2,19,1
0,282.6,0,0,81,3013,2,20,1
0,282.6,0,0,81,2603,2,21,1
0,282.6,0,0,81,1910,2,22,1
0,282.6,0,0,81,1037,2,23,1
0,273.9,0,0,1,347,3,1,1
0,274.4,0,0,75,350,3,3,1
0,274.05,0,0,75,850,3,4,1
0,273.71,0,0,40,2791,3,5,1
0,272.66,0,0,1,5809,3,6,1
0,272.65,0,0,1,6798,3,7,1
0,272.52,0,0,1,6304,3,8,1
0,275.19,0,0,20,5291,3,9,1
0,275.34,0,0,1,4638,3,10,1
0,284.1,0,0,50,5557,3,14,1
0,284.1,0,0,50,5818,3,15,1
0,283.78,0,0,75,6272,3,16,1
0,283.52,0,0,75,5944,3,17,1
0,283.32,0,0,90,4949,3,18,1
0,282.06,0,0,90,3511,3,19,1
0,281.95,0,0,90,3039,3,20,1
0,281.81,0,0,90,2679,3,21,1
0,282.16,0,0,90,2094,3,22,1
0,282.53,0,0,90,1284,3,23,1
0,283.91,0,0,90,630,4,0,1
0,284.64,0,0,90,410,4,1,1
0,284.61,0,0,90,331,4,2,1
0,283.18,0,0,72,372,4,3,0
0,282.26,0,0,72,739,4,4,0
0,280.77,0,0,72,2561,4,5,0
0,278.53,0,0,75,5586,4,6,1
0,277.64,0,0,75,6992,4,7,1
0,277.9,0,0,90,5860,4,8,1
0,278.18,0,0,90,5230,4,9,1
0,279.29,0,0,75,4864,4,10,1
0,280.45,0,0,75,5146,4,11,1
0,280.95,0,0,40,5526,4,12,1
0,281.74,0,0,40,5383,4,13,1
0,281.84,0,0,75,5758,4,14,1
0,282.45,0,0,75,5889,4,15,1
0,282.2,0,0,75,6057,4,16,1
0,281.54,0,0,40,6028,4,17,1
0,280.21,0,0,20,5257,4,18,1
0,282.2,0,0,56,1897,4,23,1
0,272.58,0,0,1,1335,5,0,1
0,272.06,0,0,1,769,5,1,1
0,270.99,0,0,1,570,5,2,1
0,270.29,0,0,20,413,5,3,1
0,269.48,0,0,1,399,5,4,1
0,269.27,0,0,1,740,5,5,1
0,268.91,0,0,1,1420,5,6,1
0,268.98,0,0,75,2220,5,7,1
0,269.23,0,0,40,3479,5,8,1
0,272.61,0,0,40,4546,5,9,1
0,276.78,0,0,20,4579,5,10,1
0,279.22,0,0,1,4438,5,11,1
0,280.35,0,0,1,4623,5,12,1
0,281.81,0,0,1,4440,5,13,1
0,283.05,0,0,1,4495,5,14,1
0,283.96,0,0,1,4483,5,15,1
0,284.53,0,0,1,4591,5,16,1
0,284.44,0,0,1,4477,5,17,1
0,283.64,0,0,1,4221,5,18,1
0,281.85,0,0,20,3672,5,19,1
0,281.38,0,0,1,3015,5,20,1
0,281.84,0,0,75,2769,5,21,1
0,282.23,0,0,90,2875,5,22,1
0,282.18,0,0,90,1931,5,23,1
0,282.49,0,0,90,1309,6,0,1
0,282.54,0,0,90,870,6,1,1
0,282.58,0,0,90,654,6,2,1
0,282.23,0,0,90,364,6,3,1
0,282.08,0,0,90,262,6,4,1
0,282.23,0,0,90,505,6,5,1
0,282.24,0,0,90,861,6,6,1
0,282.24,0,0,90,1132,6,7,1
0,282.24,0,0,57,1797,6,8,0
0,282.43,0,0,57,2685,6,9,0
0,282.43,0,0,57,2685,6,9,0
0,282.43,0,0,57,2685,6,9,0
0,282.33,0,0,57,3370,6,10,0
0,282.33,0,0,57,3370,6,10,0
0,282.82,0,0,57,3662,6,11,0
0,282.82,0,0,57,3662,6,11,0
0,283.33,0,0,57,4076,6,12,0
0,283.33,0,0,57,4076,6,12,0
0,283.33,0,0,57,4076,6,12,0
0,283.75,0,0,93,4128,6,13,0
0,283.75,0,0,93,4128,6,13,0
0,283.75,0,0,93,4128,6,13,0
0,284.09,0,0,93,4358,6,14,0
0,284.09,0,0,93,4358,6,14,0
0,284.09,0,0,93,4358,6,14,0
0,284.55,0,0,93,4342,6,15,0
0,284.55,0,0,93,4342,6,15,0
0,284.68,0,0,93,4234,6,16,0
0,284.64,0,0,93,4271,6,17,0
0,284.64,0,0,93,4271,6,17,0
0,284.4,0,0,93,4080,6,18,0
0,284.17,0,0,93,3453,6,19,0
0,284.03,0,0,93,2718,6,20,0
0,283.58,0,0,93,2439,6,21,0
0,283.04,0,0,93,1819,6,22,0
0,281.95,0,0,93,1002,6,23,0
0,281.95,0,0,93,1002,6,23,0
0,281.61,0,0,93,542,0,0,0
0,281.61,0,0,93,542,0,0,0
0,281.57,0,0,85,303,0,1,0
0,281.42,0,0,85,239,0,2,0
0,281.29,0,0,85,335,0,3,0
0,281.29,0,0,85,335,0,3,0
0,281.02,0,0,85,810,0,4,0
0,281.02,0,0,85,810,0,4,0
0,280.82,0,0,85,2606,0,5,0
0,280.82,0,0,85,2606,0,5,0
0,280.39,0,0,85,5714,0,6,0
0,280.19,0,0,100,6798,0,7,0
0,279.82,0,0,100,6114,0,8,0
0,279.75,0,0,100,5094,0,9,0
0,280.07,0,0,100,4473,0,10,0
0,280.32,0,0,90,4529,0,11,1
0,281.72,0,0,100,4823,0,12,1
0,284.01,0,0,40,4872,0,13,1
0,285.88,0,0,1,5238,0,14,1
0,286.87,0,0,1,5584,0,15,1
0,287.6,0,0,20,6246,0,16,1
0,287.27,0,0,20,5957,0,17,1
0,286.18,0,0,20,4535,0,18,1
0,285.2,0,0,75,3234,0,19,1
0,284.68,0,0,75,2677,0,20,1
0,284.49,0,0,90,2077,0,21,1
0,283.54,0,0,20,1380,0,22,1
0,282.33,0,0,75,927,0,23,1
0,281.21,0,0,20,500,1,0,1
0,279.87,0,0,1,324,1,1,1
0,278.93,0,0,1,257,1,2,1
0,277.91,0,0,1,354,1,3,1
0,277.21,0,0,1,769,1,4,1
0,276.61,0,0,1,2769,1,5,1
0,276.11,0,0,1,5789,1,6,1
0,274.81,0,0,20,7055,1,7,1
0,274.99,0,0,20,6408,1,8,1
0,277.91,0,0,20,5254,1,9,1
0,280.71,0,0,20,4547,1,10,1
0,283.85,0,0,20,4784,1,11,1
0,286.01,0,0,40,5015,1,12,1
0,286.31,0,0,1,5057,1,13,1
0,288.15,0,0,75,5430,1,14,1
0,289.15,0,0,75,5813,1,15,1
0,288.99,0,0,75,6496,1,16,1
0,288.86,0,0,75,6429,1,17,1
0,288.16,0,0,90,5142,1,18,1
0,287.28,0,0,68,3311,1,19,0
0,287.04,0,0,90,2777,1,20,1
0,286.9,0,0,90,2331,1,21,1
0,287.09,0,0,90,1767,1,22,1
0,287.09,0,0,90,1093,1,23,1
0,286.89,0,0,75,554,2,0,1
0,286.93,0,0,75,333,2,1,1
0,286.93,0,0,90,267,2,2,1
0,287.07,0,0,90,358,2,3,1
0,286.56,0,0,75,777,2,4,1
0,285.91,0,0,90,2732,2,5,1
0,285.29,0,0,90,5637,2,6,1
0,284.92,0,0,75,5564,2,7,1
0,285.35,0,0,75,6274,2,8,1
0,285.72,0,0,100,5403,2,9,0
0,285.72,0,0,100,5403,2,9,0
0,287.09,0,0,75,4680,2,10,1
0,288.31,0,0,75,4642,2,11,1
0,288.61,0,0,1,4979,2,12,1
0,290.32,0,0,1,4851,2,13,1
0,291.36,0,0,1,4291,2,14,1
0,292.01,0,0,1,4714,2,15,1
0,292.61,0,0,1,6723,2,16,1
0,292.65,0,0,1,6180,2,17,1
0,290.52,0,0,40,4843,2,18,1
0,288.35,0,0,40,3435,2,19,1
0,286.72,0,0,40,2921,2,20,1
0,285.49,0,0,40,2763,2,21,1
0,284.22,0,0,20,1930,2,22,1
0,283.8,0,0,20,1160,2,23,1
0,283.72,0,0,20,654,3,0,1
0,282.8,0,0,40,374,3,1,1
0,282.32,0,0,99,301,3,2,0
0,282.38,0,0,99,397,3,3,0
0,282.76,0,0,90,794,3,4,1
0,282.88,0,0,99,2564,3,5,0
0,284.18,0,0,75,5358,3,6,1
0,284.69,0,0,90,6441,3,7,1
0,285.0,0,0,90,5536,3,8,1
0,286.9,0,0,99,5256,3,9,0
0,288.35,0,0,90,4619,3,10,1
0,289.59,0,0,90,5107,3,11,1
0,288.27,0,0,99,5147,3,12,0
0,286.41,0,0,90,5283,3,13,1
0,285.96,0,0,90,5704,3,14,1
0,287.04,0,0,90,5887,3,15,1
0,287.18,0,0,90,6307,3,16,1
0,286.94,0,0,90,5953,3,17,1
0,286.01,0,0,90,4519,3,18,1
0,284.67,0,0,100,3427,3,19,0
0,283.44,0,0,100,2921,3,20,0
0,282.51,0,0,100,2649,3,21,0
0,281.9,0,0,90,2005,3,22,1
0,281.85,0,0,90,1177,3,23,1
0,281.28,0,0,90,699,4,0,1
0,280.97,0,0,87,436,4,1,0
0,280.44,0,0,87,353,4,2,0
0,280.44,0,0,87,353,4,2,0
0,280.02,0,0,87,399,4,3,0
0,279.79,0,0,87,720,4,4,0
0,279.79,0,0,87,720,4,4,0
0,279.79,0,0,87,720,4,4,0
0,279.79,0,0,87,720,4,4,0
0,279.74,0,0,87,2370,4,5,0
0,279.74,0,0,87,2370,4,5,0
0,279.65,0,0,87,5162,4,6,0
0,279.65,0,0,87,5162,4,6,0
0,279.65,0,0,87,5162,4,6,0
0,279.45,0,0,91,5777,4,7,0
0,279.45,0,0,91,5777,4,7,0
0,279.22,0,0,91,5235,4,8,0
0,279.22,0,0,91,5235,4,8,0
0,279.22,0,0,91,5235,4,8,0
0,279.35,0,0,91,4606,4,9,0
0,279.35,0,0,91,4606,4,9,0
0,279.92,0,0,91,4328,4,10,0
0,280.44,0,0,90,4282,4,11,1
0,281.0,0,0,90,4489,4,12,1
0,281.51,0,0,90,4908,4,13,1
0,281.93,0,0,92,5620,4,14,0
0,281.94,0,0,92,5849,4,15,0
0,281.94,0,0,92,5849,4,15,0
0,282.27,0,0,92,4945,4,16,0
0,282.41,0,0,92,4619,4,17,0
0,282.21,0,0,90,4479,4,18,1
0,281.69,0,0,75,3804,4,19,1
0,281.26,0,0,90,2908,4,20,1
0,280.66,0,0,92,2942,4,21,0
0,280.43,0,0,92,3077,4,22,0
0,280.43,0,0,92,3077,4,22,0
0,280.1,0,0,92,2051,4,23,0
0,280.1,0,0,92,2051,4,23,0
0,280.1,0,0,92,2051,4,23,0
0,280.06,0,0,92,1270,5,0,0
0,280.06,0,0,92,1270,5,0,0
0,280.28,0,0,96,773,5,1,0
0,280.28,0,0,96,773,5,1,0
0,280.38,0,0,96,589,5,2,0
0,280.62,0,0,96,432,5,3,0
0,280.62,0,0,96,432,5,3,0
0,280.91,0,0,96,401,5,4,0
0,280.91,0,0,96,401,5,4,0
0,280.91,0,0,96,401,5,4,0
0,280.96,0,0,96,759,5,5,0
0,280.96,0,0,96,759,5,5,0
0,280.96,0,0,96,759,5,5,0
0,281.13,0,0,96,1313,5,6,0
0,281.13,0,0,96,1313,5,6,0
0,281.13,0,0,96,1313,5,6,0
0,281.28,0,0,100,1824,5,7,0
0,281.28,0,0,100,1824,5,7,0
0,281.28,0,0,100,1824,5,7,0
0,281.19,0,0,100,2787,5,8,0
0,281.19,0,0,100,2787,5,8,0
0,281.19,0,0,100,2787,5,8,0
0,281.7,0,0,100,3713,5,9,0
0,281.7,0,0,100,3713,5,9,0
0,281.7,0,0,100,3713,5,9,0
0,281.7,0,0,100,3713,5,9,0
0,282.02,0,0,100,3815,5,10,0
0,282.02,0,0,100,3815,5,10,0
0,282.02,0,0,100,3815,5,10,0
0,282.02,0,0,100,3815,5,10,0
0,282.35,0,0,100,4339,5,11,0
0,282.35,0,0,100,4339,5,11,0
0,282.35,0,0,100,4339,5,11,0
0,282.71,0,0,100,4613,5,12,0
0,282.71,0,0,100,4613,5,12,0
0,282.71,0,0,100,4613,5,12,0
0,282.71,0,0,100,4613,5,12,0
0,283.31,0,0,48,4507,5,13,0
0,283.79,0,0,90,4452,5,14,1
0,284.2,0,0,75,4636,5,15,1
0,284.32,0,0,90,4810,5,16,1
0,284.13,0,0,75,5125,5,17,1
0,283.14,0,0,40,4337,5,18,1
0,281.4,0,0,40,3644,5,19,1
0,280.47,0,0,20,3107,5,20,1
0,279.52,0,0,20,2929,5,21,1
0,278.85,0,0,48,2865,5,22,0
0,278.12,0,0,48,2340,5,23,0
0,277.94,0,0,48,1372,6,0,0
0,275.93,0,0,60,1928,6,8,0
0,275.93,0,0,60,1928,6,8,0
0,284.09,0,0,75,4695,6,17,1
0,282.6,0,0,75,4335,6,18,1
0,281.72,0,0,90,1583,6,22,1
0,281.26,0,0,90,959,6,23,1
0,281.29,0,0,75,498,0,0,1
0,281.01,0,0,75,306,0,1,1
0,280.57,0,0,40,259,0,2,1
0,280.54,0,0,75,324,0,3,1
0,279.37,0,0,8,806,0,4,0
0,279.18,0,0,8,2622,0,5,0
0,279.05,0,0,8,5456,0,6,0
0,282.7,0,0,38,4324,0,10,1
0,286.17,0,0,40,4378,0,11,1
0,288.61,0,0,75,4639,0,12,1
0,290.59,0,0,20,4546,0,13,1
0,292.21,0,0,75,5006,0,14,1
0,293.56,0,0,75,5361,0,15,1
0,293.43,0,0,40,6101,0,16,1
0,293.4,0,0,40,5781,0,17,1
0,291.47,0,0,20,4272,0,18,1
0,289.17,0,0,20,3091,0,19,1
0,287.28,0,0,1,2434,0,20,1
0,286.1,0,0,1,1984,0,21,1
0,285.45,0,0,75,1383,0,22,1
0,285.33,0,0,90,959,0,23,1
0,285.07,0,0,90,511,1,0,1
0,284.58,0,0,90,346,1,1,1
0,283.88,0,0,75,253,1,2,1
0,283.55,0,0,75,349,1,3,1
0,282.85,0,0,20,807,1,4,1
0,282.42,0,0,20,2669,1,5,1
0,282.13,0,0,75,5210,1,6,1
0,281.85,0,0,40,6083,1,7,1
0,281.85,0,0,20,5790,1,8,1
0,283.07,0,0,75,5484,1,9,1
0,284.53,0,0,90,4407,1,10,1
0,285.6,0,0,75,4725,1,11,1
0,286.63,0,0,90,4826,1,12,1
0,286.75,0,0,99,4945,1,13,0
0,287.97,0,0,90,5065,1,14,1
0,288.54,0,0,99,5618,1,15,0
0,288.72,0,0,90,6094,1,16,1
0,288.53,0,0,90,5844,1,17,1
0,288.16,0,0,90,4649,1,18,1
0,287.59,0,0,90,3180,1,19,1
0,287.21,0,0,90,2963,1,20,1
0,286.29,0,0,90,2450,1,21,1
0,285.7,0,0,90,1613,1,22,1
0,285.61,0,0,90,1021,1,23,1
0,285.37,0,0,99,580,2,0,0
0,285.37,0,0,99,580,2,0,0
0,285.51,0,0,90,298,2,1,1
0,285.6,0,0,100,261,2,2,0
0,285.99,0,0,100,408,2,3,0
0,285.99,0,0,100,408,2,3,0
0,285.94,0,0,100,793,2,4,0
0,285.94,0,0,100,793,2,4,0
0,285.97,0,0,90,2643,2,5,0
0,285.97,0,0,90,2643,2,5,0
0,285.97,0,0,90,2643,2,5,0
0,285.73,0,0,90,5593,2,6,0
0,285.73,0,0,90,5593,2,6,0
0,285.73,0,0,90,5593,2,6,0
0,285.73,0,0,90,5593,2,6,0
0,285.5,0,0,90,5722,2,7,0
0,285.5,0,0,90,5722,2,7,0
0,285.55,0,0,90,5607,2,8,0
0,285.55,0,0,90,5607,2,8,0
0,285.55,0,0,90,5607,2,8,0
0,285.55,0,0,90,5607,2,8,0
0,285.93,0,0,90,5492,2,9,0
0,285.93,0,0,90,5492,2,9,0
0,285.93,0,0,90,5492,2,9,0
0,286.34,0,0,90,4542,2,10,0
0,286.82,0,0,90,4720,2,11,0
0,286.82,0,0,90,4720,2,11,0
0,288.36,0,0,90,4982,2,12,0
0,288.36,0,0,90,4982,2,12,0
0,288.36,0,0,90,4982,2,12,0
0,289.08,0,0,90,5032,2,13,0
0,289.08,0,0,90,5032,2,13,0
0,289.08,0,0,90,5032,2,13,0
0,289.88,0,0,90,5212,2,14,0
0,289.88,0,0,90,5212,2,14,0
0,290.24,0,0,90,5661,2,15,0
0,290.24,0,0,90,5661,2,15,0
0,290.24,0,0,90,5661,2,15,0
0,290.01,0,0,90,5812,2,16,0
0,289.62,0,0,90,5855,2,17,0
0,289.62,0,0,90,5855,2,17,0
0,289.61,0,0,90,4416,2,18,0
0,289.61,0,0,90,4416,2,18,0
0,289.06,0,0,90,3118,2,19,0
0,288.34,0,0,75,2877,2,20,0
0,288.34,0,0,75,2877,2,20,0
0,287.06,0,0,20,2498,2,21,0
0,287.41,0,0,75,1701,2,22,0
0,287.52,0,0,90,1028,2,23,0
0,287.81,0,0,90,578,3,0,0
0,287.29,0,0,75,354,3,1,0
0,287.23,0,0,90,272,3,2,0
0,286.44,0,0,90,370,3,3,0
0,285.32,0,0,90,809,3,4,0
0,285.32,0,0,90,809,3,4,0
0,285.43,0,0,90,2641,3,5,0
0,285.53,0,0,75,4957,3,6,0
0,285.2,0,0,90,6036,3,7,0
0,285.2,0,0,90,6036,3,7,0
0,285.02,0,0,90,5309,3,8,0
0,286.43,0,0,90,4438,3,10,0
0,287.36,0,0,90,4723,3,11,0
0,287.6,0,0,90,4879,3,12,0
0,287.29,0,0,90,5062,3,13,1
0,286.41,0,0,90,5450,3,14,0
0,286.41,0,0,90,5450,3,14,0
0,286.41,0,0,90,5450,3,14,0
0,286.41,0,0,90,5450,3,14,0
0,285.8,0,0,90,5888,3,15,0
0,285.8,0,0,90,5888,3,15,0
0,285.8,0,0,90,5888,3,15,0
0,285.8,0,0,90,5888,3,15,0
0,285.8,0,0,90,5888,3,15,0
0,285.29,0,0,90,6473,3,16,0
0,285.29,0,0,90,6473,3,16,0
0,285.29,0,0,90,6473,3,16,0
0,284.77,0,0,90,6488,3,17,0
0,284.77,0,0,90,6488,3,17,0
0,284.77,0,0,90,6488,3,17,0
0,284.29,0,0,90,5351,3,18,0
0,284.29,0,0,90,5351,3,18,0
0,284.29,0,0,90,5351,3,18,0
0,284.29,0,0,90,5351,3,18,0
0,283.79,0,0,90,3500,3,19,0
0,283.79,0,0,90,3500,3,19,0
0,283.79,0,0,90,3500,3,19,0
0,283.44,0,0,90,2856,3,20,0
0,283.44,0,0,90,2856,3,20,0
0,283.44,0,0,90,2856,3,20,0
0,283.22,0,0,90,2587,3,21,0
0,283.22,0,0,90,2587,3,21,0
0,283.22,0,0,90,2587,3,21,0
0,282.82,0,0,90,1979,3,22,1
0,282.13,0,0,90,1284,3,23,1
0,281.05,0,0,90,665,4,0,0
0,281.05,0,0,90,665,4,0,0
0,281.05,0,0,90,665,4,0,0
0,280.44,0,0,90,432,4,1,0
0,280.44,0,0,90,432,4,1,0
0,280.07,0,0,90,326,4,2,0
0,280.07,0,0,90,326,4,2,0
0,280.07,0,0,90,326,4,2,0
0,279.54,0,0,90,380,4,3,0
0,279.54,0,0,90,380,4,3,0
0,279.54,0,0,90,380,4,3,0
0,279.54,0,0,90,380,4,3,0
0,278.93,0,0,90,705,4,4,0
0,278.93,0,0,90,705,4,4,0
0,278.93,0,0,90,705,4,4,0
0,278.93,0,0,90,705,4,4,0
0,278.93,0,0,90,705,4,4,0
0,278.27,0,0,90,2430,4,5,0
0,278.27,0,0,90,2430,4,5,0
0,278.27,0,0,90,2430,4,5,0
0,278.27,0,0,90,2430,4,5,0
0,278.07,0,0,90,5426,4,6,0
0,278.07,0,0,90,5426,4,6,0
0,278.07,0,0,90,5426,4,6,0
0,277.53,0,0,90,6499,4,7,0
0,277.53,0,0,90,6499,4,7,0
0,276.23,0,0,90,5856,4,8,0
0,276.23,0,0,90,5856,4,8,0
0,276.23,0,0,90,5856,4,8,0
0,275.66,0,0,90,5234,4,9,0
0,275.66,0,0,90,5234,4,9,0
0,275.66,0,0,90,5234,4,9,0
0,275.02,0,0,90,4695,4,10,0
0,275.02,0,0,90,4695,4,10,0
0,275.02,0,0,90,4695,4,10,0
0,275.02,0,0,90,4695,4,10,0
0,275.03,0,0,90,5341,4,11,0
0,275.03,0,0,90,5341,4,11,0
